Name,Ticker,Identifier
Apple Inc.,AAPL,03783310
Microsoft Corporation,MSFT,59491810
Amazon.com Inc.,AMZN,02313510
Facebook Inc. Class A,FB,30303M10
Alphabet Inc. Class A,GOOGL,02079K30
Alphabet Inc. Class C,GOOG,02079K10
Berkshire Hathaway Inc. Class B,BRK.B,08467070
Tesla Inc,TSLA,88160R10
JPMorgan Chase & Co.,JPM,46625H10
NVIDIA Corporation,NVDA,67066G10
Johnson & Johnson,JNJ,47816010
Visa Inc. Class A,V,92826C83
UnitedHealth Group Incorporated,UNH,91324P10
Procter & Gamble Company,PG,74271810
Home Depot Inc.,HD,43707610
PayPal Holdings Inc,PYPL,70450Y10
Mastercard Incorporated Class A,MA,57636Q10
Walt Disney Company,DIS,25468710
Bank of America Corp,BAC,06050510
Adobe Inc.,ADBE,00724F10
Comcast Corporation Class A,CMCSA,20030N10
Exxon Mobil Corporation,XOM,30231G10
Verizon Communications Inc.,VZ,92343V10
Intel Corporation,INTC,45814010
salesforce.com inc.,CRM,79466L30
Cisco Systems Inc.,CSCO,17275R10
Netflix Inc.,NFLX,64110L10
Pfizer Inc.,PFE,71708110
Coca-Cola Company,KO,19121610
Chevron Corporation,CVX,16676410
AT&T Inc.,T,00206R10
PepsiCo Inc.,PEP,71344810
AbbVie Inc.,ABBV,00287Y10
Abbott Laboratories,ABT,00282410
Merck & Co. Inc.,MRK,58933Y10
Broadcom Inc.,AVGO,11135F10
Thermo Fisher Scientific Inc.,TMO,88355610
Walmart Inc.,WMT,93114210
Accenture Plc Class A,ACN,G1151C10
Wells Fargo & Company,WFC,94974610
Eli Lilly and Company,LLY,53245710
McDonald's Corporation,MCD,58013510
Texas Instruments Incorporated,TXN,88250810
Costco Wholesale Corporation,COST,22160K10
Medtronic Plc,MDT,G5960L10
NIKE Inc. Class B,NKE,65410610
Danaher Corporation,DHR,23585110
Philip Morris International Inc.,PM,71817210
Qualcomm Inc,QCOM,74752510
Honeywell International Inc.,HON,43851610
Linde plc,LIN,G5494J10
Bristol-Myers Squibb Company,BMY,11012210
Union Pacific Corporation,UNP,90781810
NextEra Energy Inc.,NEE,65339F10
Oracle Corporation,ORCL,68389X10
Citigroup Inc.,C,17296742
United Parcel Service Inc. Class B,UPS,91131210
Amgen Inc.,AMGN,03116210
Lowe's Companies Inc.,LOW,54866110
Raytheon Technologies Corporation,RTX,75513E10
Morgan Stanley,MS,61744644
Boeing Company,BA,09702310
Starbucks Corporation,SBUX,85524410
International Business Machines Corporation,IBM,45920010
Intuit Inc.,INTU,46120210
Applied Materials Inc.,AMAT,03822210
Goldman Sachs Group Inc.,GS,38141G10
BlackRock Inc.,BLK,09247X10
American Tower Corporation,AMT,03027X10
Target Corporation,TGT,87612E10
Caterpillar Inc.,CAT,14912310
General Electric Company,GE,36960410
3M Company,MMM,88579Y10
CVS Health Corporation,CVS,12665010
Charles Schwab Corporation,SCHW,80851310
American Express Company,AXP,02581610
Intuitive Surgical Inc.,ISRG,46120E60
ServiceNow Inc.,NOW,81762P10
Deere & Company,DE,24419910
Advanced Micro Devices Inc.,AMD,00790310
Charter Communications Inc. Class A,CHTR,16119P10
S&P Global Inc.,SPGI,78409V10
Lockheed Martin Corporation,LMT,53983010
Booking Holdings Inc.,BKNG,09857L10
Anthem Inc.,ANTM,03675210
Lam Research Corporation,LRCX,51280710
Prologis Inc.,PLD,74340W10
Fidelity National Information Services Inc.,FIS,31620M10
Micron Technology Inc.,MU,59511210
Mondelez International Inc. Class A,MDLZ,60920710
Zoetis Inc. Class A,ZTS,98978V10
Altria Group Inc,MO,02209S10
T-Mobile US Inc.,TMUS,87259010
Stryker Corporation,SYK,86366710
Crown Castle International Corp,CCI,22822V10
Automatic Data Processing Inc.,ADP,05301510
Gilead Sciences Inc.,GILD,37555810
Cigna Corporation,CI,12552310
ConocoPhillips,COP,20825C10
Duke Energy Corporation,DUK,26441C20
CME Group Inc. Class A,CME,12572Q10
TJX Companies Inc,TJX,87254010
PNC Financial Services Group Inc.,PNC,69347510
General Motors Company,GM,37045V10
U.S. Bancorp,USB,90297330
CSX Corporation,CSX,12640810
Truist Financial Corporation,TFC,89832Q10
Equinix Inc.,EQIX,29444U70
Activision Blizzard Inc.,ATVI,00507V10
Chubb Limited,CB,H1467J10
Capital One Financial Corporation,COF,14040H10
Colgate-Palmolive Company,CL,19416210
FedEx Corporation,FDX,31428X10
Becton Dickinson and Company,BDX,07588710
Marsh & McLennan Companies Inc.,MMC,57174810
Estee Lauder Companies Inc. Class A,EL,51843910
Norfolk Southern Corporation,NSC,65584410
Southern Company,SO,84258710
Illumina Inc.,ILMN,45232710
Air Products and Chemicals Inc.,APD,00915810
Sherwin-Williams Company,SHW,82434810
Fiserv Inc.,FISV,33773810
Illinois Tool Works Inc.,ITW,45230810
Intercontinental Exchange Inc.,ICE,45866F10
Edwards Lifesciences Corporation,EW,28176E10
Dominion Energy Inc,D,25746U10
Boston Scientific Corporation,BSX,10113710
Analog Devices Inc.,ADI,03265410
Autodesk Inc.,ADSK,05276910
Biogen Inc.,BIIB,09062X10
Ford Motor Company,F,34537086
Moody's Corporation,MCO,61536910
Northrop Grumman Corporation,NOC,66680710
Global Payments Inc.,GPN,37940X10
Eaton Corp. Plc,ETN,G2918310
Regeneron Pharmaceuticals Inc.,REGN,75886F10
Emerson Electric Co.,EMR,29101110
Humana Inc.,HUM,44485910
NXP Semiconductors NV,NXPI,N6596X10
HCA Healthcare Inc,HCA,40412C10
Waste Management Inc.,WM,94106L10
Progressive Corporation,PGR,74331510
Aon Plc Class A,AON,G0403H10
Dollar General Corporation,DG,25667710
Ecolab Inc.,ECL,27886510
IDEXX Laboratories Inc.,IDXX,45168D10
Freeport-McMoRan Inc.,FCX,35671D85
Newmont Corporation,NEM,65163910
KLA Corporation,KLAC,48248010
Vertex Pharmaceuticals Incorporated,VRTX,92532F10
Twitter Inc.,TWTR,90184L10
Roper Technologies Inc.,ROP,77669610
EOG Resources Inc.,EOG,26875P10
Johnson Controls International plc,JCI,G5150210
Dow Inc.,DOW,26055710
IQVIA Holdings Inc,IQV,46266C10
Schlumberger NV,SLB,80685710
L3Harris Technologies Inc,LHX,50243110
MetLife Inc.,MET,59156R10
Public Storage,PSA,74460D10
Exelon Corporation,EXC,30161N10
Agilent Technologies Inc.,A,00846U10
TE Connectivity Ltd.,TEL,H8498910
Align Technology Inc.,ALGN,01625510
Digital Realty Trust Inc.,DLR,25386810
Kimberly-Clark Corporation,KMB,49436810
T. Rowe Price Group,TROW,74144T10
General Dynamics Corporation,GD,36955010
Centene Corporation,CNC,15135B10
Trane Technologies plc,TT,G8994E10
Sempra Energy,SRE,81685110
Simon Property Group Inc.,SPG,82880610
eBay Inc.,EBAY,27864210
American International Group Inc.,AIG,02687478
Ross Stores Inc.,ROST,77829610
American Electric Power Company Inc.,AEP,02553710
DuPont de Nemours Inc.,DD,26614N10
MSCI Inc. Class A,MSCI,55354G10
IHS Markit Ltd.,INFO,G4756710
Baxter International Inc.,BAX,07181310
Aptiv PLC,APTV,G6095L10
Electronic Arts Inc.,EA,28551210
PPG Industries Inc.,PPG,69350610
Microchip Technology Incorporated,MCHP,59501710
Synopsys Inc.,SNPS,87160710
Amphenol Corporation Class A,APH,03209510
Prudential Financial Inc.,PRU,74432010
Bank of New York Mellon Corporation,BK,06405810
Marathon Petroleum Corporation,MPC,56585A10
DexCom Inc.,DXCM,25213110
Alexion Pharmaceuticals Inc.,ALXN,01535110
Chipotle Mexican Grill Inc.,CMG,16965610
Constellation Brands Inc. Class A,STZ,21036P10
Sysco Corporation,SYY,87182910
Allstate Corporation,ALL,02000210
Walgreens Boots Alliance Inc,WBA,93142710
Phillips 66,PSX,71854610
O'Reilly Automotive Inc.,ORLY,67103H10
Marriott International Inc. Class A,MAR,57190320
Carrier Global Corp.,CARR,14448C10
Travelers Companies Inc.,TRV,89417E10
General Mills Inc.,GIS,37033410
Parker-Hannifin Corporation,PH,70109410
Cognizant Technology Solutions Corporation Class A,CTSH,19244610
Cadence Design Systems Inc.,CDNS,12738710
TransDigm Group Incorporated,TDG,89364110
International Flavors & Fragrances Inc.,IFF,45950610
Xcel Energy Inc.,XEL,98389B10
Discover Financial Services,DFS,25470910
HP Inc.,HPQ,40434L10
Kinder Morgan Inc Class P,KMI,49456B10
Motorola Solutions Inc.,MSI,62007630
SBA Communications Corp. Class A,SBAC,78410G10
Cummins Inc.,CMI,23102110
Yum! Brands Inc.,YUM,98849810
Hilton Worldwide Holdings Inc,HLT,43300A20
ResMed Inc.,RMD,76115210
Archer-Daniels-Midland Company,ADM,03948310
Aflac Incorporated,AFL,00105510
Monster Beverage Corporation,MNST,61174X10
Welltower Inc.,WELL,95040Q10
Paychex Inc.,PAYX,70432610
Zimmer Biomet Holdings Inc.,ZBH,98956P10
